restaurant_name,rating,total_ratings,address,latitude,longitude,place_id,opening_hours,review_author,review_rating,review_text,review_time,review_language
Malmaison Birmingham,4.2,1925,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Kevin Charles,5,"Located close to the Bullring and with a Q car park next door to the hotel, this hotel is ideally located.

The rooms are of a very high standard, although a little dark. They are very spacious and are built to a high quality.

The staff are very friendly and accommodating.

The bar has an extensive drinks menu and the happy hour prices are very inviting.

Lastly onto the food. I rarely eat at hotel restaurants, but the food here is excellent. Easily on par with a respectable restaurant.

I highly recommend staying here if you're visiting Birmingham.",2025-08-01 22:58:35,en
Malmaison Birmingham,4.2,1925,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Nikita Cranston,5,"I only booked a night here for after the Kendrick Lamar concert. But it was an excellent stay. The rooms were amazing. I actually got a free upgrade! The room was spacious, they had all the right amenities, including free bottled water. The hotel is located right by the train station so it’s really easy to get to. The service was excellent from the front desk and the hospitality staff. The breakfast was great too, I liked that it has both a continental buffet and cooked options you can choose from. The choices are a bit limited but most people will find something they’ll like. If I come back to Birmingham, I’ll be staying again.",2025-07-12 10:24:51,en
Malmaison Birmingham,4.2,1925,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Merlin Art (Merlin),4,"Overall this is pretty good hotel. I've not used the gym or spa facilities. I have always visited on business trips. Rooms are generally impeccable, but I will say they are starting to show their age. However, still a very good experience. Breakfast wise, you get great service and the food is, for the most part, good. I think there's the odd chef that isn't up to the standards of the others, but to be honest, I've never thought to complain. It's pretty darn ok, ya know.

If there were any complaints, it is this: please, please give complementary lip balm! The air con is very needed, but dries your lips fast. I have always left the hotel with crunchy, painful lips!!",2025-07-25 19:44:21,en
Malmaison Birmingham,4.2,1925,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Sahlin Abdulhamid,5,"Amazing Stay at Malmaison Birmingham!

I recently stayed at Malmaison Birmingham for two nights and had a truly wonderful experience. From the moment I arrived, the staff were incredibly friendly, welcoming, and professional they really set the tone for a great stay.

The room was spotless, stylish, and very comfortable. Everything felt fresh and well-maintained, making it easy to relax. I was also impressed with the breakfast a fantastic spread with delicious options that really exceeded expectations.

The location couldn’t be better right in the heart of Birmingham, making it super convenient to get around and explore the city. Everything was easy to find and navigate.

The only small suggestion I’d make is that I would have appreciated being told about the spa services at check-in. I only found out about them through the in room leaflet, and it would’ve been great to know earlier to plan ahead.

Overall, an amazing stay and I’d happily return. Highly recommended!",2025-05-18 23:21:41,en
Malmaison Birmingham,4.2,1925,"1 Wharfside St, Birmingham B1 1RD, UK",52.4767717,-1.903438,ChIJb0mj0oq8cEgRn-gXjgRdALg,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",YokerBloke,5,"Great reception staff, nice and cheery, lovely all round.
We came down from Glasgow for the Back to the Beginnings gig at Villa Park, really handy for New St. Station. Nice big rooms, can't fault it really. Recommended.",2025-07-24 10:56:36,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1199,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,D Lewis,5,"Great location 6 mins away from the Stephenson Street exit of New Street station. Well maintained accommodation,  friendly and professional staff.

I was lucky enough to have a room overlooking the cathedral and I could hear the bells ringing.

The bed was as comfortable as the adverts claim. Breakfast and dinner were excellent. I visited last year for work and returned for leisure this month. I highly recommend this branch of the Premier Inn.",2025-07-23 18:10:45,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1199,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,J W,4,"A brilliant stay. Room is modern (although the TV could do with a little update) and super clean.

I stayed after a busy bank holiday weekend and although clean and tidy, it felt the bed making was perhaps rushed but still nothing to be picky about.

The aircon was amazing! Some of the best and quickest to cool a room.

The bed comfortable and the shower hot (although not the most amazing pressure).

It was quiet in the hotel and breakfast is down in the attached restaurant which I’ve reviewed separately.",2025-05-27 12:16:12,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1199,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,Mina Michel,4,"We visited the hotel 2 times, the location at the heart of Birmingham is perfect to move and visit around.
Rooms were very clean but the A/C wasn't working (at least properly) on our first visit but second time in a different room, it worked perfectly.
On both visits, the team were very helpful and friendly, whenever we had a problem or question they were very supportive especially Rajj who remembered us from the first time and helped us with check-In.
The view of the room in the second time, was overlooking the church so it was beautiful. First time, the view was other buildings roofs, which was okay for us.",2025-07-21 21:37:21,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1199,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,Trusted One,4,"Room was affordable and comfortable.
Did inform staff that the extractor fan for bathroom wasn't working, so it was like being in the amazon rain forest for many hours post shower.

Location of the area does require you to have your wits about you approaching the night.",2025-07-21 08:53:09,en
Premier Inn Birmingham City Centre (Waterloo Street) hotel,4.2,1199,"3-6 Waterloo St, Birmingham B2 5PG, UK",52.4804926,-1.8994246,ChIJ1S24H4y8cEgRK_UGHBzKDKU,N/A,Kirsty (Kirsty1986),5,"I stay at this hotel everytime I come to Birmingham due to great rates and great central location.  The rooms are always clean and tidy, bed is so comfy. Staff are friendly and welcoming, never had a bad stay. Would recommend, and looking forward to coming back. I also love that you recycle any waste as I used to take it home wirh me so thank you",2025-07-28 08:27:06,en
