word,frequency
cheap,28
cash,28
company,28
system,28
impressive,28
thai,28
gluten,28
asking,27
haven,27
till,27
wouldn't,27
call,27
five,27
establishment,27
occasion,27
recommendations,27
student,27
mins,27
surprised,27
exactly,27
flavorful,27
chairs,27
yummy,27
starbucks,27
toppings,27
gone,27
butter,27
somewhere,27
energy,27
ate,26
together,26
several,26
talking,26
trip,26
english,26
hands,26
apart,26
spent,26
comes,26
n,26
fan,26
interesting,26
italian,26
cut,26
kebab,26
gets,26
soup,26
noodles,26
windows,26
potato,26
relaxing,26
cocktail,26
sides,26
sign,26
literally,26
edgbaston,26
freshly,26
uk,26
subway,26
bring,25
barely,25
loud,25
won,25
box,25
break,25
presentation,25
sauces,25
upon,25
leaving,25
immediately,25
sorry,25
professionalism,25
cuisine,25
along,25
per,25
superb,25
sometimes,25
sleep,25
feeling,25
patient,25
canal,25
changed,25
via,25
checked,25
cleaned,25
lively,25
cute,25
oat,25
knew,24
flat,24
disappoint,24
st,24
note,24
effort,24
ladies,24
solid,24
courses,24
expecting,24
chai,24
certainly,24
single,24
catch,24
events,24
weren't,24
bright,24
problem,24
roast,24
seasoned,24
offering,24
juicy,24
weekend,24
beans,23
case,23
hair,23
garlic,23
rushed,23
multiple,23
regularly,23
seriously,23
matter,23
remember,23
bill,23
coffees,23
tidy,23
entrance,23
japanese,23
baguette,23
bag,23
spaces,23
stood,23
rush,23
seat,23
treated,23
opened,23
site,23
pastries,23
enter,23
facilities,23
downstairs,23
starter,23
playing,23
yourself,23
chill,23
genuine,23
road,23
appreciate,23
theatre,23
pre,23
disabled,23
ages,23
seeing,22
twice,22
platter,22
weeks,22
nights,22
difficult,22
tasting,22
included,22
move,22
properly,22
provide,22
market,22
number,22
popular,22
staying,22
accessible,22
placed,22
minute,22
similar,22
elsewhere,22
balanced,22
salmon,22
prawns,22
bathroom,22
cookies,21
express,21
pleasure,21
low,21
pop,21
mark,21
google,21
non,21
woman,21
game,21
grand,21
veggie,21
thoughtful,21
ensure,21
closing,21
middle,21
attended,21
comfy,21
strawberry,21
grab,21
step,21
comment,21
filled,21
fair,21
yesterday,21
tapas,21
mind,21
bland,21
future,21
true,21
noticed,21
child,21
difference,21
decorated,21
particular,21
creamy,21
husband,21
generally,20
eggs,20
questions,20
brand,20
ring,20
book,20
peas,20
surprise,20
guess,20
calm,20
missing,20
worked,20
celebrate,20
head,20
bull,20
none,20
vibrant,20
girls,20
sadly,20
cinema,20
karaoke,20
consistently,20
conditioning,20
rate,20
normal,20
opted,20
goes,20
product,20
texture,20
forgot,20
chefs,20
ones,20
hungry,20
delivered,20
trouble,20
gravy,20
satisfying,20
loads,20
match,20
sticky,20
isn't,19
prawn,19
doors,19
pizzas,19
bonus,19
fab,19
cappuccino,19
otherwise,19
watching,19
bother,19
shisha,19
tiny,19
son,19
plan,19
baked,19
various,19
waste,19
serves,19
wrap,19
general,19
month,19
balance,19
date,19
management,19
stand,19
art,19
worse,19
sports,19
pool,19
type,19
section,19
red,19
flavourful,19
shared,19
item,19
complimentary,19
milkshake,19
doesn't,19
brown,19
bottle,19
safe,19
green,19
photos,18
grilled,18
checking,18
handled,18
self,18
i'll,18
pancakes,18
corner,18
arrive,18
chilli,18
picture,18
pounds,18
veg,18
informed,18
bigger,18
korean,18
meet,18
happened,18
takes,18
terrible,18
yes,18
impeccable,18
duck,18
blue,18
update,18
masala,18
write,18
casual,18
wedding,18
culinary,18
window,18
pricey,18
downside,18
delight,18
pieces,18
services,18
earlier,18
tap,18
shower,18
fully,18
onion,18
daughter,18
compared,18
charged,18
picked,18
doesn,18
church,18
suggest,17
communication,17
saying,17
unless,17
standards,17
four,17
asian,17
fruit,17
smell,17
salt,17
talk,17
spice,17
brum,17
glasses,17
bubble,17
dj,17
gig,17
shawarma,17
menus,17
higher,17
we'll,17
arrival,17
dog,17
works,17
roll,17
lucky,17
situation,17
oil,17
share,17
possible,17
cheesecake,17
oh,17
crunchy,17
cookie,17
meant,17
stuff,17
recent,17
ticket,17
l,17
ales,17
dont,17
code,17
mr,17
bakery,17
terms,16
shout,16
adding,16
mum,16
gentleman,16
screen,16
refused,16
foods,16
hash,16
sent,16
photo,16
allowed,16
face,16
burrito,16
bars,16
spices,16
movie,16
unacceptable,16
british,16
uber,16
groups,16
overpriced,16
summer,16
hygiene,16
sort,16
mango,16
hear,16
harborne,16
ramen,16
biryani,16
running,16
sour,16
impression,16
further,16
creating,16
lift,16
notice,16
maintained,16
comfort,16
eye,16
weather,16
explain,16
speak,16
peaceful,16
highlight,16
stairs,16
holiday,16
excited,16
juice,16
treats,16
returned,16
entry,16
noise,16
sister,16
desk,15
contact,15
walls,15
themselves,15
enjoying,15
mini,15
stock,15
bowl,15
relax,15
complaint,15
drive,15
hadn't,15
improvement,15
miss,15
cats,15
apple,15
travel,15
alone,15
themed,15
ease,15
seafood,15
mouth,15
training,15
ale,15
putting,15
dumplings,15
meeting,15
bun,15
pictures,15
mistake,15
chain,15
airy,15
blown,15
rolls,15
dietary,15
providing,15
sets,15
avocado,15
double,15
crowd,15
wooden,15
everywhere,15
prefer,15
terrace,15
laid,15
advice,15
passion,15
dropped,15
design,15
lacking,15
shoes,15
chilled,15
knowledge,15
indoor,15
normally,14
experiences,14
requested,14
tonight,14
nearly,14
skills,14
idea,14
warmth,14
reading,14
moving,14
shocking,14
helping,14
wheelchair,14
stress,14
ensuring,14
shoutout,14
passing,14
smaller,14
planning,14
spring,14
conversation,14
views,14
recommending,14
temperature,14
gorgeous,14
recommendation,14
layout,14
list,14
attached,14
deep,14
happen,14
patience,14
sense,14
collection,14
loyal,14
finished,14
burnt,14
opinion,14
bbq,14
collect,14
cafes,14
unreal,14
chewy,14
emma,14
spoke,14
deli,14
payment,14
lost,14
muffin,14
crust,14
class,14
stage,14
public,14
manner,14
personally,14
mess,14
anyway,14
showed,14
london,14
rock,14
negative,14
snack,14
die,14
purchase,14
weren,14
anywhere,14
mailbox,14
buying,14
potatoes,13
barista,13
cleanliness,13
complaints,13
kindly,13
explore,13
mushroom,13
politely,13
wanting,13
deals,13
we're,13
salty,13
mine,13
stylish,13
b,13
nando,13
answer,13
vegetables,13
sausages,13
tomato,13
lighting,13
pass,13
waffle,13
satisfied,13
office,13
heard,13
mile,13
points,13
adds,13
stomach,13
nor,13
slice,13
social,13
craving,13
reservation,13
stated,13
key,13
host,13
history,13
below,13
smiles,13
journey,13
kindness,13
heat,13
medium,13
information,13
opposite,13
nobody,13
sorted,13
zero,13
guinness,13
standout,13
broken,13
charm,13
dough,13
onto,13
servers,13
blend,13
strong,13
drinking,13
unforgettable,13
crafted,13
branches,13
advertised,13
soggy,13
mainly,13
rating,13
experienced,13
sound,13
larger,13
roof,12
noisy,12
dine,12
sized,12
craft,12
favorite,12
soul,12
homemade,12
says,12
men,12
previous,12
wetherspoons,12
writing,12
kfc,12
known,12
occasions,12
dark,12
treatment,12
gift,12
promptly,12
involved,12
website,12
exceeded,12
dance,12
spots,12
paneer,12
mostly,12
receipt,12
frustrating,12
separate,12
bone,12
digbeth,12
apology,12
browns,12
bits,12
eventually,12
ceiling,12
fluffy,12
sharing,12
means,12
caramel,12
visits,12
sun,12
plants,12
pain,12
toasted,12
french,12
forget,12
complete,12
healthy,12
regarding,12
gardens,12
crisp,12
standing,12
espresso,12
greek,12
trust,12
played,12
health,12
accept,12
pret,12
courteous,12
pride,12
sad,12
u,12
piece,12
respectful,12
tasteless,12
monday,12
varied,12
broad,12
spiced,12
original,12
qr,12
lobster,12
dismissive,12
spotless,12
tough,12
tier,12
mac,12
x,12
museum,12
independent,12
ignored,12
happily,12
moved,12
correct,12
flavoursome,12
mean,12
obviously,12
private,12
hardly,12
engaging,12
important,12
